    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
     deseason       -0.5177       -1.0929       -0.9010       -0.0321       -0.0526
     deseason       -0.4927       -1.1072       -0.8876        0.0258       -0.0049
     deseason       -0.5535       -1.1632       -1.0938        0.0091        0.0045
     deseason       -0.4478       -0.8639       -0.8068       -0.0160       -0.0159
     deseason       -0.4102       -0.9308       -0.8213        0.0157        0.0045
     deseason       -0.6085       -1.2833       -1.1779       -0.0153       -0.0194
     deseason       -0.4689       -0.9181       -0.9237       -0.0478       -0.0522
     deseason       -0.5425       -1.2637       -1.1449        0.0224        0.0193
     deseason       -0.5809       -1.0911       -0.9934       -0.0110       -0.0250
     deseason       -0.4779       -0.9244       -0.7890        0.0321        0.0135
     deseason       -0.4981       -1.0516       -0.8190        0.0393        0.0219
     deseason       -0.5518       -1.0652       -0.9516        0.0292        0.0001
     deseason       -0.5092       -1.2387       -1.0583        0.0271        0.0224
     deseason       -0.5545       -1.1614       -1.0428       -0.0214       -0.0223
     deseason       -0.5218       -0.9492       -0.8849       -0.0582       -0.0732
     deseason       -0.5595       -1.0250       -1.0062       -0.0442       -0.0426
     deseason       -0.4780       -0.9468       -0.9378        0.0203        0.0236
     deseason       -0.4172       -0.8236       -0.7159       -0.0374       -0.0370
     deseason       -0.5845       -1.3018       -1.2251       -0.0035        0.0018
     deseason       -0.5810       -1.0806       -1.1011       -0.0103       -0.0022
     deseason       -0.4818       -0.8919       -0.9070       -0.0131       -0.0120
     deseason       -0.5127       -1.0276       -0.9465       -0.0202       -0.0075
     deseason       -0.4816       -1.0349       -0.9205        0.0526        0.0451
     deseason       -0.5416       -1.1031       -1.0284        0.0566        0.0338
     deseason       -0.5359       -1.1267       -1.0512       -0.0298       -0.0331
     deseason       -0.4178       -0.8286       -0.6923       -0.0475       -0.0655
     deseason       -0.5340       -0.9730       -0.9493       -0.0069       -0.0178
     deseason       -0.5309       -1.0074       -0.9556       -0.0619       -0.0511
     deseason       -0.4547       -0.9222       -0.7531        0.0049       -0.0211
     deseason       -0.5239       -1.1452       -0.9935        0.0149       -0.0043
     deseason       -0.5452       -1.2212       -1.1348        0.0636        0.0516
     deseason       -0.4794       -0.9112       -0.8340        0.0113        0.0122
     deseason       -0.5455       -1.0459       -1.0339       -0.0368       -0.0385
     deseason       -0.4704       -0.8991       -0.9081        0.0152        0.0109
     deseason       -0.5520       -1.1511       -1.0273       -0.0054       -0.0203
     deseason       -0.5100       -1.0228       -0.9786       -0.1067       -0.1095
     deseason       -0.4638       -0.9231       -0.8567        0.0115        0.0069
     deseason       -0.5284       -1.0240       -0.9953        0.0313        0.0386
     deseason       -0.4296       -0.9135       -0.7742       -0.0056       -0.0075
     deseason       -0.4756       -0.9927       -0.9128       -0.0117       -0.0143
     deseason       -0.4973       -0.9684       -0.8819       -0.0442       -0.0500
     deseason       -0.4961       -1.0082       -0.9702       -0.0416       -0.0436
     deseason       -0.5133       -0.8952       -0.8400        0.0062        0.0080
     deseason       -0.4907       -0.9782       -0.9201        0.0195        0.0190
     deseason       -0.4780       -0.9397       -0.8707       -0.0446       -0.0562
     deseason       -0.4859       -0.9831       -0.8703        0.0187        0.0260
     deseason       -0.5401       -1.1926       -1.0395        0.1141        0.1164
     deseason       -0.5387       -1.0051       -0.9432       -0.0087       -0.0170
