    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
        inter       -0.4538       -0.6690       -0.6933       -0.0217       -0.0222
        inter       -0.3349       -0.5762       -0.6657        0.0825        0.0451
        inter       -0.4680       -0.7805       -0.8063       -0.0398       -0.0566
        inter       -0.4460       -0.8345       -0.8460       -0.0279       -0.0428
        inter       -0.3550       -0.6515       -0.6397        0.0265        0.0189
        inter       -0.4365       -0.8302       -0.8128       -0.0114       -0.0377
        inter       -0.5681       -1.0195       -1.0612        0.0013       -0.0166
        inter       -0.1551       -0.3327       -0.4050        0.0060       -0.0075
        inter       -0.5246       -0.9075       -0.8666       -0.0563       -0.0612
        inter       -0.5364       -1.1178       -1.0992        0.0461        0.0241
        inter       -0.3221       -0.5578       -0.6154        0.0401        0.0046
        inter       -0.3511       -0.6309       -0.6880       -0.0060       -0.0260
        inter       -0.3263       -0.7328       -0.7220        0.0225       -0.0012
        inter       -0.3860       -0.7975       -0.7935        0.0553        0.0327
        inter       -0.2680       -0.4387       -0.4499       -0.0746       -0.0919
        inter       -0.4038       -0.7855       -0.8630        0.0226       -0.0062
        inter       -0.6644       -1.0629       -1.0842       -0.0480       -0.0598
        inter       -0.1889       -0.3002       -0.2808        0.0261       -0.0052
        inter       -0.2710       -0.6017       -0.6019        0.0576        0.0534
        inter       -0.4564       -0.7508       -0.7618        0.0090       -0.0166
        inter       -0.5385       -0.9630       -0.9988        0.0261       -0.0036
        inter       -0.2469       -0.4628       -0.4588        0.0380        0.0213
        inter       -0.3397       -0.6596       -0.7039        0.0145       -0.0091
        inter       -0.6178       -0.9787       -0.9923        0.0031       -0.0080
        inter       -0.3852       -0.6367       -0.7128        0.0008       -0.0267
        inter       -0.5399       -0.9034       -0.9703        0.0099       -0.0067
        inter       -0.4375       -0.7292       -0.7900       -0.0355       -0.0498
        inter       -0.4513       -0.8342       -0.9079       -0.0074       -0.0252
        inter       -0.4871       -0.8555       -0.8137       -0.0209       -0.0340
        inter       -0.4153       -0.7598       -0.7981        0.0577        0.0405
        inter       -0.4146       -0.8180       -0.8579       -0.0830       -0.1085
        inter       -0.3343       -0.6344       -0.6890        0.0266        0.0023
        inter       -0.4466       -0.7475       -0.7094       -0.0108       -0.0218
        inter       -0.2679       -0.4085       -0.4285       -0.0243       -0.0410
        inter       -0.3713       -0.6613       -0.7091        0.0338        0.0147
        inter       -0.3138       -0.5855       -0.7280       -0.0138       -0.0493
        inter       -0.4911       -0.8310       -0.8578       -0.0030       -0.0027
        inter       -0.5007       -0.8630       -0.8425        0.0283        0.0164
        inter       -0.3638       -0.6691       -0.7043        0.0210       -0.0050
        inter       -0.4876       -0.6767       -0.7324       -0.0576       -0.0676
        inter       -0.4534       -0.6664       -0.6946       -0.0057       -0.0184
        inter       -0.3189       -0.6208       -0.6287       -0.0427       -0.0665
        inter       -0.4867       -0.8838       -0.9210        0.0244        0.0046
        inter       -0.2407       -0.4468       -0.4705        0.0229        0.0015
        inter       -0.5051       -0.7919       -0.8900       -0.0256       -0.0405
        inter       -0.5208       -0.7778       -0.8217       -0.0363       -0.0482
        inter       -0.4267       -0.8685       -0.8904       -0.0190       -0.0390
        inter       -0.2847       -0.4785       -0.5019        0.0416        0.0202
        inter       -0.4729       -0.8280       -0.9201        0.0260        0.0024
        inter       -0.4149       -0.8381       -0.8501        0.0550        0.0317
        inter       -0.1940       -0.3447       -0.3151        0.0377        0.0232
        inter       -0.3917       -0.7141       -0.7281        0.0011       -0.0216
        inter       -0.5700       -1.0107       -1.0257       -0.0307       -0.0379
        inter       -0.4245       -0.8011       -0.8378       -0.0117       -0.0174
        inter       -0.2089       -0.3349       -0.3995       -0.0258       -0.0365
        inter       -0.3784       -0.7021       -0.6631       -0.0163       -0.0415
        inter       -0.5147       -0.8178       -0.9136       -0.0080       -0.0317
        inter       -0.2975       -0.5291       -0.5649        0.0275        0.0062
        inter       -0.5097       -0.9502       -0.9907        0.0287        0.0099
        inter       -0.5555       -1.2331       -1.2823       -0.0728       -0.1003
        inter       -0.4778       -0.7342       -0.7752       -0.0522       -0.0648
        inter       -0.3872       -0.6443       -0.6702       -0.0148       -0.0348
        inter       -0.4875       -0.7661       -0.8336       -0.0598       -0.0780
        inter       -0.3213       -0.5119       -0.5624       -0.0593       -0.0815
        inter       -0.3668       -0.7365       -0.7876        0.0179        0.0046
        inter       -0.4412       -0.7469       -0.7592       -0.0006       -0.0173
        inter       -0.4096       -0.6679       -0.6718       -0.0510       -0.0734
        inter       -0.5204       -0.7525       -0.7720        0.0241        0.0151
        inter       -0.4572       -0.7428       -0.7739        0.0425        0.0282
        inter       -0.4826       -0.7631       -0.7838        0.0147       -0.0133
        inter       -0.2245       -0.4322       -0.3738        0.0253        0.0024
        inter       -0.4446       -0.7017       -0.6518        0.0276        0.0001
        inter       -0.5470       -0.9188       -0.9614       -0.0061       -0.0231
        inter       -0.2889       -0.5372       -0.5615        0.0280        0.0104
        inter       -0.4004       -0.6884       -0.7035        0.0466        0.0265
        inter       -0.3756       -0.7764       -0.7934        0.0252       -0.0009
        inter       -0.5697       -0.9846       -1.0641       -0.0117       -0.0328
        inter       -0.3894       -0.7111       -0.7901        0.0237        0.0101
        inter       -0.5400       -0.9458       -1.0087        0.0554        0.0538
        inter       -0.3011       -0.5205       -0.5289       -0.0144       -0.0279
        inter       -0.5448       -0.7718       -0.8155       -0.0165       -0.0248
        inter       -0.6441       -1.1621       -1.2027       -0.0460       -0.0658
        inter       -0.4887       -0.8606       -0.8921        0.0163       -0.0026
        inter       -0.4574       -0.6784       -0.6945       -0.0545       -0.0667
        inter       -0.3776       -0.6289       -0.7396        0.0429        0.0277
        inter       -0.3328       -0.5888       -0.5805        0.0490        0.0074
        inter       -0.5899       -0.9445       -0.9260       -0.0041       -0.0174
        inter       -0.3195       -0.5991       -0.7092        0.0492        0.0233
        inter       -0.2464       -0.4260       -0.4289        0.0203        0.0068
        inter       -0.1157       -0.2352       -0.2167        0.0625        0.0558
        inter       -0.5252       -0.9931       -0.9552        0.0541        0.0324
        inter       -0.4183       -0.8392       -0.9116        0.0001       -0.0253
        inter       -0.5859       -1.0369       -1.1434       -0.0841       -0.1049
        inter       -0.5729       -1.2080       -1.1653       -0.0049       -0.0265
        inter       -0.3918       -0.7477       -0.7813       -0.0085       -0.0329
        inter       -0.3680       -0.5411       -0.5969       -0.0815       -0.0918
        inter       -0.3329       -0.6845       -0.6957        0.0117       -0.0218
        inter       -0.5099       -0.9553       -0.9234       -0.0439       -0.0636
        inter       -0.4427       -0.8315       -0.9630       -0.0004       -0.0289
        inter       -0.4208       -0.6201       -0.6545       -0.0204       -0.0266
        inter       -0.4500       -0.8148       -0.8476       -0.0049       -0.0156
        inter       -0.2124       -0.4054       -0.3995       -0.0062       -0.0344
        inter       -0.3894       -0.7488       -0.8770        0.0012       -0.0332
        inter       -0.1942       -0.3695       -0.4166       -0.0141       -0.0365
        inter       -0.4796       -0.7640       -0.7883       -0.0046       -0.0176
        inter       -0.3226       -0.6828       -0.7032        0.0459        0.0214
        inter       -0.4051       -0.5633       -0.6194        0.0202        0.0248
        inter       -0.3240       -0.6600       -0.6582        0.0138       -0.0007
        inter       -0.2993       -0.5595       -0.6084       -0.0214       -0.0430
        inter       -0.4034       -0.6129       -0.6648       -0.0626       -0.0770
        inter       -0.4316       -0.7515       -0.7695       -0.0001       -0.0173
        inter       -0.1758       -0.3753       -0.3194       -0.0547       -0.0842
        inter       -0.3874       -0.7168       -0.6979        0.0610        0.0352
        inter       -0.2956       -0.6382       -0.6654        0.0352        0.0027
        inter       -0.3170       -0.5067       -0.5506       -0.0144       -0.0329
        inter       -0.3978       -0.8207       -0.8207       -0.0382       -0.0552
        inter       -0.4643       -0.7572       -0.7847       -0.0322       -0.0445
        inter       -0.4733       -0.6714       -0.7568       -0.0056       -0.0214
        inter       -0.3692       -0.6034       -0.6482       -0.0041       -0.0297
        inter       -0.4109       -0.7465       -0.7803       -0.0232       -0.0498
        inter       -0.4455       -0.8286       -0.8614        0.0484        0.0205
        inter       -0.3109       -0.4621       -0.5121       -0.0192       -0.0321
        inter       -0.3243       -0.6146       -0.6305        0.0476        0.0227
        inter       -0.5439       -1.0562       -1.1295        0.0062       -0.0113
