    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
        intra       -0.5470       -1.1300       -1.1152        0.0193        0.0125
        intra       -0.6529       -1.3333       -1.3040       -0.0054       -0.0149
        intra       -0.7004       -1.5004       -1.4807        0.0282        0.0293
        intra       -0.5805       -1.2522       -1.1804        0.0128        0.0129
        intra       -0.5100       -1.1107       -1.0138       -0.0171       -0.0245
        intra       -0.5622       -1.3445       -1.2652        0.0078        0.0013
        intra       -0.6375       -1.1687       -1.2069       -0.0307       -0.0361
        intra       -0.5766       -1.2629       -1.1924        0.0197        0.0051
        intra       -0.6160       -1.2610       -1.1911        0.0030        0.0063
        intra       -0.5743       -1.0975       -1.0218        0.0155        0.0103
        intra       -0.4218       -0.9169       -0.8160       -0.0133       -0.0159
        intra       -0.6178       -1.3823       -1.3551        0.0182        0.0073
        intra       -0.5461       -1.2106       -1.1669       -0.0128       -0.0175
        intra       -0.4949       -1.0652       -1.0092       -0.0140       -0.0235
        intra       -0.4426       -0.9071       -0.8678        0.0399        0.0433
        intra       -0.5402       -1.1012       -1.0080       -0.0079       -0.0181
        intra       -0.4940       -1.1154       -1.0519        0.0387        0.0270
        intra       -0.6255       -1.3816       -1.2951        0.0236        0.0166
        intra       -0.5744       -1.3379       -1.2011        0.0020       -0.0134
        intra       -0.6579       -1.4832       -1.5208        0.0022       -0.0069
        intra       -0.6019       -1.3628       -1.3088        0.0165        0.0126
        intra       -0.6040       -1.2726       -1.2126        0.0114       -0.0032
        intra       -0.5625       -1.1708       -1.1866        0.0008       -0.0073
        intra       -0.5695       -1.3700       -1.3132       -0.0111       -0.0230
        intra       -0.5403       -1.1824       -1.1730       -0.0020       -0.0050
        intra       -0.4398       -1.0182       -0.9655       -0.0149       -0.0175
        intra       -0.5969       -1.2759       -1.2250       -0.0090       -0.0194
        intra       -0.6020       -1.2970       -1.2753        0.0208        0.0082
        intra       -0.5885       -1.3086       -1.2476       -0.0021       -0.0151
        intra       -0.6947       -1.5847       -1.5284       -0.0117       -0.0214
        intra       -0.6083       -1.4039       -1.3554        0.0076       -0.0029
        intra       -0.6117       -1.4166       -1.4089        0.0007       -0.0038
        intra       -0.5837       -1.1884       -1.1461        0.0044       -0.0067
        intra       -0.7446       -1.6136       -1.5970        0.0071       -0.0034
        intra       -0.4877       -1.0426       -1.0432       -0.0356       -0.0454
        intra       -0.5460       -1.2393       -1.1903       -0.0084       -0.0182
        intra       -0.6868       -1.4614       -1.4813       -0.0241       -0.0360
        intra       -0.5869       -1.2099       -1.1842        0.0324        0.0294
        intra       -0.4871       -1.0329       -0.9655       -0.0445       -0.0499
        intra       -0.6114       -1.4704       -1.4428       -0.0159       -0.0241
        intra       -0.5863       -1.1262       -1.1467        0.0092       -0.0051
        intra       -0.5642       -1.2017       -1.1637       -0.0398       -0.0476
        intra       -0.5192       -1.0849       -1.0268        0.0324        0.0261
        intra       -0.5459       -1.0676       -1.0386        0.0215        0.0157
        intra       -0.4883       -0.9372       -0.9227        0.0283        0.0110
        intra       -0.5995       -1.2190       -1.2812       -0.0173       -0.0269
        intra       -0.5550       -1.1956       -1.1211        0.0165        0.0058
        intra       -0.5706       -1.3682       -1.3571        0.0365        0.0207
        intra       -0.4484       -0.8688       -0.7802       -0.0025       -0.0105
        intra       -0.5677       -1.2534       -1.2781        0.0204        0.0109
        intra       -0.6069       -1.3074       -1.3234        0.0168        0.0127
        intra       -0.5291       -1.1226       -1.0505       -0.0025       -0.0230
        intra       -0.4690       -1.0695       -1.0173       -0.0114       -0.0192
        intra       -0.5333       -1.0949       -1.0583       -0.0104       -0.0082
        intra       -0.5949       -1.3029       -1.2295       -0.0087       -0.0250
        intra       -0.5200       -0.9616       -0.9060       -0.0167       -0.0074
        intra       -0.5541       -1.0729       -1.0362       -0.0255       -0.0266
        intra       -0.5000       -0.9847       -0.9306       -0.0001       -0.0073
        intra       -0.5795       -1.2666       -1.1360        0.0194        0.0111
        intra       -0.4697       -1.0096       -0.9493       -0.0083       -0.0263
        intra       -0.5579       -1.1912       -1.1680       -0.0383       -0.0402
        intra       -0.5289       -1.1341       -1.1203        0.0119       -0.0018
        intra       -0.5365       -1.1269       -1.0581       -0.0234       -0.0267
        intra       -0.5173       -1.0062       -0.9789        0.0194        0.0071
        intra       -0.5824       -1.2399       -1.1750        0.0046       -0.0026
        intra       -0.6650       -1.3823       -1.3348       -0.0027       -0.0163
        intra       -0.4781       -0.9716       -0.9956        0.0079       -0.0067
        intra       -0.5119       -1.0799       -1.0033        0.0166        0.0141
        intra       -0.6365       -1.2944       -1.2573       -0.0030       -0.0119
        intra       -0.6130       -1.3156       -1.3103       -0.0234       -0.0375
        intra       -0.4939       -0.8885       -0.8700        0.0116        0.0029
        intra       -0.5552       -1.1583       -1.1061       -0.0075       -0.0128
        intra       -0.4480       -1.0914       -1.0172        0.0013       -0.0123
        intra       -0.4457       -0.8828       -0.8106       -0.0021       -0.0102
        intra       -0.4975       -1.1032       -1.0521       -0.0120       -0.0165
        intra       -0.6213       -1.3296       -1.3106       -0.0088       -0.0258
        intra       -0.5429       -1.2980       -1.3142       -0.0061       -0.0218
        intra       -0.6251       -1.2106       -1.1660       -0.0119       -0.0072
        intra       -0.5600       -1.2605       -1.1590       -0.0093        0.0023
        intra       -0.5049       -1.0383       -1.0124       -0.0007       -0.0163
        intra       -0.4861       -1.0545       -0.9878        0.0006       -0.0043
