    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
       season       -0.7105       -1.5427       -1.5397       -0.0049       -0.0054
       season       -0.7576       -1.2954       -1.2581       -0.0042       -0.0005
       season       -0.7393       -1.4944       -1.4650        0.0040        0.0010
       season       -0.6024       -1.1423       -1.1469       -0.0091       -0.0106
       season       -0.7235       -1.3838       -1.3269        0.0121        0.0116
       season       -0.7519       -1.4916       -1.4550        0.0063        0.0075
       season       -0.6284       -1.1102       -1.1072       -0.0033       -0.0060
       season       -0.6911       -1.5518       -1.4894        0.0038        0.0092
       season       -0.6735       -1.3788       -1.3587       -0.0038       -0.0092
       season       -0.7340       -1.3751       -1.3161        0.0065        0.0096
       season       -0.6318       -1.2913       -1.2694       -0.0132       -0.0157
       season       -0.6966       -1.5430       -1.5185       -0.0207       -0.0243
       season       -0.7004       -1.5184       -1.4546        0.0096        0.0110
       season       -0.6483       -1.1757       -1.1622       -0.0170       -0.0188
       season       -0.7453       -1.4315       -1.4697       -0.0031       -0.0037
       season       -0.7609       -1.1448       -1.1520        0.0101        0.0102
       season       -0.7627       -1.4463       -1.3960        0.0088        0.0104
       season       -0.6267       -1.1531       -1.1027       -0.0094       -0.0111
       season       -0.6518       -1.2039       -1.1593       -0.0004        0.0017
       season       -0.6452       -1.1374       -1.1656        0.0116        0.0144
       season       -0.7281       -1.4453       -1.4271        0.0030        0.0045
       season       -0.7200       -1.3512       -1.3289        0.0145        0.0157
       season       -0.6840       -1.4524       -1.4287       -0.0023       -0.0049
       season       -0.6769       -1.5798       -1.6195        0.0255        0.0249
       season       -0.6640       -1.0888       -1.0935       -0.0014       -0.0025
       season       -0.7020       -1.2945       -1.2639        0.0219        0.0264
       season       -0.6852       -1.4733       -1.4734        0.0127        0.0118
       season       -0.7416       -1.4765       -1.4480        0.0247        0.0265
       season       -0.6384       -1.1064       -1.1053       -0.0006       -0.0007
       season       -0.7643       -1.4376       -1.4084        0.0057        0.0038
       season       -0.6594       -1.1692       -1.1360        0.0090        0.0085
       season       -0.7284       -1.4983       -1.4615       -0.0188       -0.0184
       season       -0.8101       -1.5159       -1.5481       -0.0163       -0.0134
       season       -0.6646       -1.2858       -1.2340        0.0084        0.0120
       season       -0.7592       -1.6332       -1.5694        0.0112        0.0137
       season       -0.7008       -1.4261       -1.3982        0.0111        0.0148
       season       -0.6883       -1.3064       -1.2973        0.0106        0.0119
       season       -0.6764       -1.2066       -1.1539        0.0083        0.0098
       season       -0.6637       -1.2730       -1.2565        0.0032        0.0020
       season       -0.6334       -1.2742       -1.1961       -0.0006       -0.0008
       season       -0.5985       -1.0765       -1.0737       -0.0060       -0.0100
       season       -0.7394       -1.4019       -1.3913        0.0053        0.0091
       season       -0.7026       -1.2866       -1.2420       -0.0108       -0.0108
       season       -0.7080       -1.3983       -1.3846       -0.0115       -0.0139
       season       -0.7212       -1.5779       -1.5522       -0.0133       -0.0129
       season       -0.6669       -1.4250       -1.3974        0.0137        0.0114
       season       -0.6901       -1.3973       -1.3821        0.0101        0.0070
       season       -0.7478       -1.6030       -1.5967       -0.0003        0.0022
       season       -0.7058       -1.2348       -1.1954       -0.0030       -0.0031
       season       -0.7239       -1.4214       -1.3421        0.0085        0.0093
       season       -0.6661       -1.0743       -1.0501        0.0125        0.0146
       season       -0.7907       -1.4469       -1.4300        0.0093        0.0101
       season       -0.7825       -1.5078       -1.4517        0.0191        0.0172
       season       -0.7807       -1.3207       -1.3131       -0.0150       -0.0138
       season       -0.7402       -1.6221       -1.5935        0.0136        0.0163
       season       -0.7343       -1.3914       -1.3400       -0.0132       -0.0119
       season       -0.7092       -1.4033       -1.3850       -0.0083       -0.0073
       season       -0.6698       -1.2056       -1.1935       -0.0002       -0.0031
       season       -0.6771       -1.3803       -1.3360       -0.0026       -0.0048
       season       -0.7138       -1.6873       -1.6094        0.0194        0.0204
       season       -0.7017       -1.2153       -1.1650        0.0134        0.0135
       season       -0.7136       -1.4219       -1.3777        0.0033        0.0080
       season       -0.7411       -1.4410       -1.4232        0.0022        0.0025
       season       -0.7443       -1.3309       -1.3093       -0.0008        0.0017
       season       -0.6762       -1.3972       -1.3919        0.0059        0.0087
       season       -0.7865       -1.3525       -1.3312        0.0021        0.0025
       season       -0.7626       -1.6607       -1.6556       -0.0074       -0.0069
       season       -0.6706       -1.2585       -1.2194        0.0171        0.0165
       season       -0.6704       -1.6185       -1.5847       -0.0124       -0.0135
